"Call Tree","Time (ms)","Level"
"<All threads>","265236","1"
"<...> java.lang.Thread.run()","135766","2"
"<10 calls> StandardEngineValve.java:74 org.wso2.carbon.tomcat.ext.valves.RequestCorrelationIdValve.invoke(Request, Response)","3834","3"
"RequestCorrelationIdValve.java:119 org.wso2.carbon.tomcat.ext.valves.RequestEncodingValve.invoke(Request, Response)","3834","4"
"RequestEncodingValve.java:49 org.wso2.carbon.tomcat.ext.valves.CarbonContextCreatorValve.invoke(Request, Response)","3834","5"
"CarbonContextCreatorValve.java:57 org.apache.catalina.valves.AbstractAccessLogValve.invoke(Request, Response)","3810","6"
"AbstractAccessLogValve.java:690 org.wso2.carbon.tomcat.ext.valves.CarbonStuckThreadDetectionValve.invoke(Request, Response)","3810","7"
"CarbonStuckThreadDetectionValve.java:145 org.wso2.carbon.tomcat.ext.valves.CompositeValve.invoke(Request, Response)","3810","8"
"CompositeValve.java:62 org.wso2.carbon.tomcat.ext.valves.TomcatValveContainer.invokeValves(Request, Response, CompositeValve)","3810","9"
"TomcatValveContainer.java:49 org.wso2.carbon.tomcat.ext.valves.CompositeValve.continueInvocation(Request, Response)","3810","10"
"CompositeValve.java:99 org.wso2.carbon.identity.auth.valve.AuthenticationValve.invoke(Request, Response)","3810","11"
"AuthenticationValve.java:101 org.wso2.carbon.identity.authz.valve.AuthorizationValve.invoke(Request, Response)","3790","12"
"AuthorizationValve.java:110 org.wso2.carbon.identity.context.rewrite.valve.TenantContextRewriteValve.invoke(Request, Response)","3790","13"
"TenantContextRewriteValve.java:86 <...> org.apache.catalina.valves.ErrorReportValve.invoke(Request, Response)","3750","14"
"<9 calls> ApplicationFilterChain.java:193 org.wso2.carbon.tomcat.ext.filter.CharacterSetFilter.doFilter(ServletRequest, ServletResponse, FilterChain)","3098","15"
"CharacterSetFilter.java:65 <...> org.apache.catalina.core.ApplicationFilterChain.doFilter(ServletRequest, ServletResponse)","3098","16"
"<10 calls> ApplicationFilterChain.java:231 org.wso2.carbon.tomcat.ext.servlet.DelegationServlet.service(ServletRequest, ServletResponse)","3098","17"
"DelegationServlet.java:68 <...> javax.servlet.http.HttpServlet.service(ServletRequest, ServletResponse)","3098","18"
"<5 calls> HttpServlet.java:660 org.wso2.carbon.core.transports.CarbonServlet.doPost(HttpServletRequest, HttpServletResponse)","3098","19"
"CarbonServlet.java:238 <...> org.apache.axis2.transport.http.AxisServlet.doPost(HttpServletRequest, HttpServletResponse)","3098","20"
